> Ready on http://localhost:\\.\pipe\884b2d7a-a83d-491a-87ca-89b1fa625be8
 ○ Compiling /_not-found ...
 ✓ Compiled /_not-found in 2.1s (693 modules)
 GET /server.js 404 in 2361ms
 ✓ Compiled in 291ms (350 modules)
 ✓ Compiled in 161ms (350 modules)
 ✓ Compiled in 134ms (350 modules)
 ✓ Compiled in 98ms (350 modules)
 ✓ Compiled in 101ms (350 modules)
 ✓ Compiled in 91ms (350 modules)
 ✓ Compiled in 94ms (350 modules)
 ✓ Compiled in 105ms (350 modules)
 ✓ Compiled in 107ms (350 modules)
 ✓ Compiled in 109ms (350 modules)
 ✓ Compiled in 108ms (350 modules)
 ✓ Compiled in 123ms (350 modules)
 ✓ Compiled in 91ms (350 modules)
 ✓ Compiled in 91ms (350 modules)
 ✓ Compiled in 90ms (350 modules)
 ✓ Compiled in 103ms (350 modules)
 ✓ Compiled in 108ms (350 modules)
 ✓ Compiled in 92ms (350 modules)
 ✓ Compiled in 81ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 68ms (350 modules)
 ✓ Compiled in 78ms (350 modules)
 ✓ Compiled in 71ms (350 modules)
 ✓ Compiled in 196ms (350 modules)
 ✓ Compiled in 85ms (350 modules)
 ✓ Compiled in 69ms (350 modules)
 ✓ Compiled in 84ms (350 modules)
 ✓ Compiled in 86ms (350 modules)
 ✓ Compiled in 74ms (350 modules)
 ✓ Compiled in 69ms (350 modules)
 ✓ Compiled in 74ms (350 modules)
 ✓ Compiled in 95ms (350 modules)
 ✓ Compiled in 70ms (350 modules)
 ✓ Compiled in 68ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 190ms (350 modules)
 ✓ Compiled in 74ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 76ms (350 modules)
 ✓ Compiled in 76ms (350 modules)
 ✓ Compiled in 80ms (350 modules)
 ✓ Compiled in 62ms (350 modules)
 ✓ Compiled in 67ms (350 modules)
 ✓ Compiled in 72ms (350 modules)
 ✓ Compiled in 74ms (350 modules)
 ✓ Compiled in 70ms (350 modules)
 ✓ Compiled in 63ms (350 modules)
 ✓ Compiled in 74ms (350 modules)
 ✓ Compiled in 64ms (350 modules)
 ✓ Compiled in 211ms (350 modules)
 ✓ Compiled in 71ms (350 modules)
 ✓ Compiled in 67ms (350 modules)
 ✓ Compiled in 79ms (350 modules)
 ✓ Compiled in 72ms (350 modules)
 ✓ Compiled in 89ms (350 modules)
 ✓ Compiled in 70ms (350 modules)
 ✓ Compiled in 80ms (350 modules)
 ✓ Compiled in 73ms (350 modules)
 ✓ Compiled in 73ms (350 modules)
 ✓ Compiled in 70ms (350 modules)
 ✓ Compiled in 83ms (350 modules)
 ✓ Compiled in 67ms (350 modules)
 ✓ Compiled in 80ms (350 modules)
 ✓ Compiled in 180ms (350 modules)
 ✓ Compiled in 66ms (350 modules)
 ✓ Compiled in 70ms (350 modules)
 ✓ Compiled in 71ms (350 modules)
 ✓ Compiled in 68ms (350 modules)
 ✓ Compiled in 103ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 64ms (350 modules)
 ✓ Compiled in 74ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 78ms (350 modules)
 ✓ Compiled in 86ms (350 modules)
 ✓ Compiled in 95ms (350 modules)
 ✓ Compiled in 204ms (350 modules)
 ✓ Compiled in 76ms (350 modules)
 ✓ Compiled in 88ms (350 modules)
 ✓ Compiled in 70ms (350 modules)
 ✓ Compiled in 72ms (350 modules)
 ✓ Compiled in 71ms (350 modules)
 ✓ Compiled in 76ms (350 modules)
 ✓ Compiled in 77ms (350 modules)
 ✓ Compiled in 72ms (350 modules)
 ✓ Compiled in 67ms (350 modules)
 ✓ Compiled in 69ms (350 modules)
 ✓ Compiled in 76ms (350 modules)
 ✓ Compiled in 77ms (350 modules)
 ✓ Compiled in 84ms (350 modules)
 ✓ Compiled in 67ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 79ms (350 modules)
 ✓ Compiled in 71ms (350 modules)
 ✓ Compiled in 77ms (350 modules)
 ✓ Compiled in 74ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 80ms (350 modules)
 ✓ Compiled in 84ms (350 modules)
 ✓ Compiled in 62ms (350 modules)
 ✓ Compiled in 61ms (350 modules)
 ✓ Compiled in 62ms (350 modules)
 ✓ Compiled in 81ms (350 modules)
 ✓ Compiled in 73ms (350 modules)
 ✓ Compiled in 76ms (350 modules)
 ✓ Compiled in 79ms (350 modules)
 ✓ Compiled in 69ms (350 modules)
 ✓ Compiled in 66ms (350 modules)
 ✓ Compiled in 67ms (350 modules)
 ✓ Compiled in 79ms (350 modules)
 ✓ Compiled in 71ms (350 modules)
 ✓ Compiled in 83ms (350 modules)
 ✓ Compiled in 92ms (350 modules)
 ✓ Compiled in 82ms (350 modules)
 ✓ Compiled in 76ms (350 modules)
 ✓ Compiled in 73ms (350 modules)
 ✓ Compiled in 71ms (350 modules)
 ✓ Compiled in 62ms (350 modules)
 ✓ Compiled in 80ms (350 modules)
 ✓ Compiled in 69ms (350 modules)
 ✓ Compiled in 67ms (350 modules)
 ✓ Compiled in 69ms (350 modules)
 ✓ Compiled in 78ms (350 modules)
 ✓ Compiled in 68ms (350 modules)
 ✓ Compiled in 68ms (350 modules)
 ✓ Compiled in 76ms (350 modules)
 ✓ Compiled in 73ms (350 modules)
 ✓ Compiled in 72ms (350 modules)
 ✓ Compiled in 73ms (350 modules)
 ✓ Compiled in 63ms (350 modules)
 ✓ Compiled in 76ms (350 modules)
 ✓ Compiled in 74ms (350 modules)
 ✓ Compiled in 82ms (350 modules)
 ✓ Compiled in 63ms (350 modules)
 ✓ Compiled in 73ms (350 modules)
 ✓ Compiled in 74ms (350 modules)
 ✓ Compiled in 92ms (350 modules)
 ✓ Compiled in 86ms (350 modules)
 ✓ Compiled in 83ms (350 modules)
 ✓ Compiled in 240ms (350 modules)
 ✓ Compiled in 88ms (350 modules)
 ✓ Compiled in 83ms (350 modules)
 ✓ Compiled in 84ms (350 modules)
 ✓ Compiled in 67ms (350 modules)
 ✓ Compiled in 88ms (350 modules)
 ✓ Compiled in 204ms (350 modules)
 ✓ Compiled in 82ms (350 modules)
 ✓ Compiled in 77ms (350 modules)
 ✓ Compiled in 89ms (350 modules)
 ✓ Compiled in 68ms (350 modules)
 ✓ Compiled in 84ms (350 modules)
 ✓ Compiled in 91ms (350 modules)
 ✓ Compiled in 100ms (350 modules)
 ✓ Compiled in 79ms (350 modules)
 ✓ Compiled in 83ms (350 modules)
 ✓ Compiled in 70ms (350 modules)
 ✓ Compiled in 80ms (350 modules)
 ✓ Compiled in 139ms (350 modules)
 ✓ Compiled in 136ms (350 modules)
 ✓ Compiled in 68ms (350 modules)
 ✓ Compiled in 84ms (350 modules)
 ✓ Compiled in 71ms (350 modules)
 ✓ Compiled in 78ms (350 modules)
 ✓ Compiled in 84ms (350 modules)
 ✓ Compiled in 85ms (350 modules)
 ✓ Compiled in 82ms (350 modules)
 ✓ Compiled in 70ms (350 modules)
 ✓ Compiled in 77ms (350 modules)
 ✓ Compiled in 83ms (350 modules)
 ✓ Compiled in 79ms (350 modules)
 ✓ Compiled in 160ms (350 modules)
 ✓ Compiled in 105ms (350 modules)
 ✓ Compiled in 76ms (350 modules)
 ✓ Compiled in 64ms (350 modules)
 ✓ Compiled in 113ms (350 modules)
 ✓ Compiled in 71ms (350 modules)
 ✓ Compiled in 70ms (350 modules)
 ✓ Compiled in 78ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 70ms (350 modules)
 ✓ Compiled in 63ms (350 modules)
 ✓ Compiled in 73ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 77ms (350 modules)
 ✓ Compiled in 198ms (350 modules)
 ✓ Compiled in 92ms (350 modules)
 ✓ Compiled in 93ms (350 modules)
 ✓ Compiled in 92ms (350 modules)
 ✓ Compiled in 87ms (350 modules)
 ✓ Compiled in 92ms (350 modules)
 ✓ Compiled in 89ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 77ms (350 modules)
 ✓ Compiled in 83ms (350 modules)
 ✓ Compiled in 84ms (350 modules)
 ✓ Compiled in 79ms (350 modules)
 ✓ Compiled in 88ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 74ms (350 modules)
 ✓ Compiled in 77ms (350 modules)
 ✓ Compiled in 73ms (350 modules)
 ✓ Compiled in 81ms (350 modules)
 ✓ Compiled in 88ms (350 modules)
 ✓ Compiled in 100ms (350 modules)
 ✓ Compiled in 92ms (350 modules)
 ✓ Compiled in 84ms (350 modules)
 ✓ Compiled in 90ms (350 modules)
 ✓ Compiled in 89ms (350 modules)
 ✓ Compiled in 91ms (350 modules)
 ✓ Compiled in 92ms (350 modules)
 ✓ Compiled in 91ms (350 modules)
 ✓ Compiled in 93ms (350 modules)
 ✓ Compiled in 81ms (350 modules)
 ✓ Compiled in 70ms (350 modules)
 ✓ Compiled in 73ms (350 modules)
 ✓ Compiled in 86ms (350 modules)
 ✓ Compiled in 82ms (350 modules)
 ✓ Compiled in 92ms (350 modules)
 ✓ Compiled in 74ms (350 modules)
 ✓ Compiled in 91ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 72ms (350 modules)
 ✓ Compiled in 85ms (350 modules)
 ✓ Compiled in 83ms (350 modules)
 ✓ Compiled in 68ms (350 modules)
 ✓ Compiled in 76ms (350 modules)
 ✓ Compiled in 73ms (350 modules)
 ✓ Compiled in 84ms (350 modules)
 ✓ Compiled in 69ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 74ms (350 modules)
 ✓ Compiled in 85ms (350 modules)
 ✓ Compiled in 86ms (350 modules)
 ✓ Compiled in 83ms (350 modules)
 ✓ Compiled in 73ms (350 modules)
 ✓ Compiled in 77ms (350 modules)
 ✓ Compiled in 103ms (350 modules)
 ✓ Compiled in 85ms (350 modules)
 ✓ Compiled in 87ms (350 modules)
 ✓ Compiled in 82ms (350 modules)
 ✓ Compiled in 85ms (350 modules)
 ✓ Compiled in 99ms (350 modules)
 ✓ Compiled in 84ms (350 modules)
 ✓ Compiled in 82ms (350 modules)
 ✓ Compiled in 76ms (350 modules)
 ✓ Compiled in 79ms (350 modules)
 ✓ Compiled in 102ms (350 modules)
 ✓ Compiled in 73ms (350 modules)
 ✓ Compiled in 64ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 92ms (350 modules)
 ✓ Compiled in 104ms (350 modules)
 ✓ Compiled in 85ms (350 modules)
 ✓ Compiled in 88ms (350 modules)
 ✓ Compiled in 83ms (350 modules)
 ✓ Compiled in 105ms (350 modules)
 ✓ Compiled in 81ms (350 modules)
 ✓ Compiled in 78ms (350 modules)
 ✓ Compiled in 87ms (350 modules)
 ✓ Compiled in 90ms (350 modules)
 ✓ Compiled in 80ms (350 modules)
 ✓ Compiled in 75ms (350 modules)
 ✓ Compiled in 79ms (350 modules)
